season,team,points,won,played,win_pct,nrr,avg_runs_scored,avg_runs_conceded,toss_win_pct,avg_result_margin
2008,Rajasthan Royals,26,13,16,81.25,0.793,8.386,7.592,68.75,21.08
2008,Punjab Kings,20,10,15,66.66666666666666,0.304,8.501,8.198,53.33,15.5
2008,Chennai Super Kings,18,9,16,56.25,-0.007,8.068,8.075,31.25,11.33
2008,Delhi Capitals,14,7,14,50.0,0.18,8.215,8.035,42.86,8.29
2008,Mumbai Indians,14,7,14,50.0,0.149,7.879,7.73,57.14,13.43
2008,Kolkata Knight Riders,12,6,13,46.15384615384615,-0.152,7.484,7.636,46.15,33.17
2008,Royal Challengers Bengaluru,8,4,14,28.57142857142857,-0.98,7.172,8.152,35.71,6.75
2008,Deccan Chargers,4,2,14,14.285714285714285,-0.356,8.018,8.374,64.29,8.5
2009,Delhi Capitals,20,10,15,66.66666666666666,0.291,7.468,7.177,60.0,8.4
2009,Deccan Chargers,18,9,16,56.25,0.378,7.644,7.266,62.5,15.56
2009,Royal Challengers Bengaluru,18,9,16,56.25,-0.176,7.092,7.268,50.0,14.44
2009,Chennai Super Kings,16,8,14,57.14285714285714,0.438,7.833,7.395,50.0,34.5
2009,Punjab Kings,14,7,14,50.0,-0.444,6.857,7.301,42.86,7.57
2009,Rajasthan Royals,12,6,13,46.15384615384615,-0.159,6.617,6.776,30.77,19.0
2009,Mumbai Indians,10,5,13,38.46153846153847,0.161,7.07,6.909,46.15,28.8
2009,Kolkata Knight Riders,6,3,13,23.076923076923077,-0.601,6.986,7.586,53.85,7.33
2010,Mumbai Indians,22,11,16,68.75,0.709,8.235,7.526,56.25,35.45
2010,Chennai Super Kings,18,9,16,56.25,0.358,8.008,7.65,62.5,20.78
2010,Royal Challengers Bengaluru,16,8,16,50.0,0.264,7.885,7.621,37.5,11.0
2010,Deccan Chargers,16,8,16,50.0,-0.405,7.331,7.736,56.25,11.12
2010,Delhi Capitals,14,7,14,50.0,0.082,7.669,7.587,57.14,25.43
2010,Kolkata Knight Riders,14,7,14,50.0,-0.46,7.497,7.956,50.0,16.0
2010,Rajasthan Royals,12,6,14,42.857142857142854,-0.375,7.857,8.232,42.86,16.83
2010,Punjab Kings,8,4,14,28.57142857142857,-0.34,8.0,8.34,35.71,7.0
2011,Chennai Super Kings,22,11,16,68.75,0.525,7.889,7.364,56.25,21.73
2011,Royal Challengers Bengaluru,20,10,16,62.5,0.324,8.073,7.749,37.5,20.2
2011,Mumbai Indians,20,10,16,62.5,-0.022,7.199,7.221,37.5,15.4
2011,Kolkata Knight Riders,16,8,15,53.333333333333336,0.223,7.247,7.024,46.67,11.0
2011,Punjab Kings,14,7,14,50.0,-0.343,7.826,8.169,71.43,40.57
2011,Deccan Chargers,12,6,14,42.857142857142854,0.173,7.469,7.297,42.86,33.67
2011,Kochi Tuskers Kerala,12,6,14,42.857142857142854,-0.173,7.21,7.383,57.14,8.83
2011,Rajasthan Royals,12,6,13,46.15384615384615,-0.43,6.971,7.401,53.85,7.5
2011,Pune Warriors,8,4,13,30.76923076923077,-0.144,6.979,7.123,38.46,5.5
2011,Delhi Capitals,8,4,13,30.76923076923077,-0.409,7.607,8.015,61.54,18.5
2012,Kolkata Knight Riders,24,12,17,70.58823529411765,0.451,7.427,6.976,41.18,17.83
2012,Delhi Capitals,22,11,18,61.111111111111114,0.298,8.019,7.722,55.56,9.09
2012,Chennai Super Kings,20,10,18,55.55555555555556,0.335,7.781,7.446,38.89,25.1
2012,Mumbai Indians,20,10,17,58.82352941176471,-0.131,7.192,7.323,64.71,9.4
2012,Royal Challengers Bengaluru,16,8,15,53.333333333333336,-0.147,8.013,8.16,40.0,18.38
2012,Punjab Kings,16,8,16,50.0,-0.187,7.442,7.628,50.0,7.62
2012,Rajasthan Royals,14,7,16,43.75,0.196,7.698,7.502,62.5,30.29
2012,Deccan Chargers,8,4,15,26.666666666666668,-0.303,7.647,7.95,60.0,11.25
2012,Pune Warriors,8,4,16,25.0,-0.584,7.051,7.635,37.5,19.25
2013,Mumbai Indians,26,13,19,68.42105263157895,0.297,7.721,7.423,63.16,26.08
2013,Chennai Super Kings,24,12,18,66.66666666666666,0.546,7.945,7.399,44.44,28.17
2013,Rajasthan Royals,22,11,18,61.111111111111114,0.297,7.524,7.227,61.11,14.55
2013,Sunrisers Hyderabad,20,10,17,58.82352941176471,-0.105,6.804,6.909,41.18,12.44
2013,Royal Challengers Bengaluru,18,9,16,56.25,0.356,8.244,7.888,31.25,24.88
2013,Punjab Kings,16,8,16,50.0,0.254,7.807,7.553,43.75,11.75
2013,Kolkata Knight Riders,12,6,16,37.5,-0.085,7.145,7.23,75.0,19.83
2013,Pune Warriors,8,4,16,25.0,-0.867,6.989,7.856,56.25,19.0
2013,Delhi Capitals,6,3,16,18.75,-0.816,6.936,7.752,31.25,10.33
2014,Punjab Kings,24,12,17,70.58823529411765,0.612,8.73,8.118,41.18,20.5
2014,Kolkata Knight Riders,22,11,16,68.75,0.426,7.98,7.554,56.25,13.27
2014,Chennai Super Kings,20,10,16,62.5,0.139,8.268,8.129,62.5,17.8
2014,Mumbai Indians,14,7,15,46.666666666666664,0.071,7.843,7.773,40.0,11.86
2014,Rajasthan Royals,14,7,14,50.0,-0.032,7.768,7.8,57.14,15.67
2014,Sunrisers Hyderabad,12,6,14,42.857142857142854,-0.41,7.69,8.1,50.0,12.0
2014,Royal Challengers Bengaluru,10,5,14,35.714285714285715,-0.16,7.579,7.739,64.29,8.0
2014,Delhi Capitals,4,2,14,14.285714285714285,-0.919,7.454,8.373,28.57,5.0
2015,Chennai Super Kings,20,10,17,58.82352941176471,0.312,7.902,7.59,58.82,22.4
2015,Mumbai Indians,20,10,16,62.5,0.165,8.395,8.23,43.75,16.0
2015,Royal Challengers Bengaluru,16,8,14,57.14285714285714,0.756,8.781,8.025,64.29,35.38
2015,Kolkata Knight Riders,14,7,13,53.84615384615385,0.25,8.332,8.082,61.54,10.43
2015,Rajasthan Royals,14,7,13,53.84615384615385,-0.136,8.041,8.177,38.46,10.43
2015,Sunrisers Hyderabad,14,7,14,50.0,-0.157,7.983,8.14,42.86,12.0
2015,Delhi Capitals,10,5,13,38.46153846153847,-0.094,7.614,7.709,38.46,12.2
2015,Punjab Kings,6,3,14,21.428571428571427,-1.098,7.396,8.494,50.0,20.0
2016,Sunrisers Hyderabad,22,11,17,64.70588235294117,0.168,7.885,7.717,58.82,15.64
2016,Royal Challengers Bengaluru,18,9,16,56.25,0.938,9.34,8.402,37.5,34.56
2016,Gujarat Lions,18,9,16,56.25,-0.437,7.774,8.211,50.0,4.67
2016,Kolkata Knight Riders,16,8,15,53.333333333333336,0.053,8.006,7.953,40.0,8.38
2016,Mumbai Indians,14,7,14,50.0,-0.081,7.864,7.944,64.29,19.57
2016,Delhi Capitals,14,7,14,50.0,-0.178,7.674,7.852,57.14,10.43
2016,Rising Pune Supergiants,10,5,14,35.714285714285715,-0.016,7.834,7.85,50.0,14.6
2016,Punjab Kings,8,4,14,28.57142857142857,-0.567,7.709,8.275,42.86,11.25
2017,Mumbai Indians,24,12,17,70.58823529411765,0.524,8.183,7.659,64.71,18.82
2017,Rising Pune Supergiants,20,10,16,62.5,0.219,7.8,7.581,37.5,15.4
2017,Kolkata Knight Riders,18,9,16,56.25,0.306,8.439,8.133,56.25,16.44
2017,Sunrisers Hyderabad,16,8,14,57.14285714285714,0.332,8.394,8.062,35.71,19.12
2017,Punjab Kings,14,7,14,50.0,-0.02,8.261,8.281,28.57,12.86
2017,Delhi Capitals,12,6,14,42.857142857142854,-0.293,8.069,8.362,57.14,28.33
2017,Gujarat Lions,8,4,14,28.57142857142857,-0.444,8.64,9.084,50.0,6.0
2017,Royal Challengers Bengaluru,6,3,13,23.076923076923077,-0.903,7.207,8.11,69.23,15.33
2018,Chennai Super Kings,22,11,16,68.75,0.241,8.612,8.371,68.75,11.0
2018,Sunrisers Hyderabad,20,10,17,58.82352941176471,0.038,7.872,7.834,41.18,10.5
