team,pred_points,predicted_wins,avg_runs_scored,avg_runs_conceded,avg_result_margin
Mumbai Indians,20.0,10,172.60000000000002,179.0,11.8
Chennai Super Kings,20.0,10,166.8,163.79999999999998,27.2
Royal Challengers Bengaluru,20.0,10,171.0,180.2,23.3
Sunrisers Hyderabad,20.0,10,170.6,184.8,13.2
Delhi Capitals,20.0,10,170.0,176.4,11.6
Rajasthan Royals,20.0,10,170.79999999999998,167.39999999999998,17.2
Punjab Kings,20.0,10,173.6,181.4,12.3
Lucknow Super Giants,11.6,6,163.4,165.2,17.6
Kolkata Knight Riders,4.0,2,183.6,169.60000000000002,22.1
Gujarat Titans,4.0,2,172.2,168.79999999999998,15.8
