ID,Game,Total Runs
1426268,SRH vs RCB [2024],520
1426280,PK vs KKR [2024],504
1422126,SRH vs MI [2024],493
1426281,MI vs DC [2024],479
1426273,SRH vs DC [2024],452
419137,RR vs CSK [2010],448
1136604,PK vs KKR [2018],447
1082641,PK vs MI [2017],435
1216527,RR vs PK [2020],431
1426278,GT vs DC [2024],431
1359512,PK vs LSG [2023],430
335983,PK vs CSK [2008],430
1359498,RCB vs CSK [2023],426
1216515,KKR vs DC [2020],423
1254061,RR vs PK [2021],423
1422138,MI vs DC [2024],422
829795,RCB vs MI [2015],420
1254084,MI vs CSK [2021],419
335990,RR vs DeC [2008],418
1178422,MI vs KKR [2019],417
1359526,SRH vs RR [2023],415
1426297,GT vs CSK [2024],414
1426274,RCB vs KKR [2024],414
1136611,SRH vs RCB [2018],413
501223,PK vs DC [2011],412
1359493,SRH vs KKR [2023],411
1304080,RR vs DC [2022],411
1426269,RR vs KKR [2024],410
1426277,LSG vs CSK [2024],410
1359507,KKR vs CSK [2023],408
1426296,RCB vs PK [2024],408
1254088,SRH vs MI [2021],407
1359520,PK vs MI [2023],406
1426294,RR vs DC [2024],406
1304112,LSG vs KKR [2022],406
1082632,GL vs DC [2017],405
733987,PK vs CSK [2014],404
1216547,RCB vs MI [2020],404
1216496,RR vs CSK [2020],402
1426307,SRH vs PK [2024],402
734047,PK vs CSK [2014],401
1359531,MI vs GT [2023],401
1422134,KKR vs DC [2024],400
1359505,PK vs MI [2023],400
419107,RR vs MI [2010],399
548372,RCB vs DC [2012],398
1304076,RR vs KKR [2022],398
1175361,PK vs KKR [2019],397
1359489,RCB vs LSG [2023],397
1422121,SRH vs KKR [2024],397
734007,SRH vs PK [2014],397
1359538,PK vs DC [2023],396
336033,RR vs CSK [2008],396
1254072,KKR vs CSK [2021],395
1136565,KKR vs CSK [2018],395
1136571,RR vs RCB [2018],395
1178410,RCB vs KKR [2019],394
1136590,DC vs CSK [2018],394
1136584,RCB vs CSK [2018],393
1082610,RCB vs GL [2017],393
1175372,RCB vs KKR [2019],393
336019,RR vs PK [2008],392
548318,RCB vs CSK [2012],392
1359516,RR vs MI [2023],391
980907,SRH vs RCB [2016],391
1359487,KKR vs GT [2023],391
729283,PK vs CSK [2014],391
1304053,LSG vs CSK [2022],389
1426305,MI vs LSG [2024],388
1359480,LSG vs CSK [2023],388
1175363,SRH vs RR [2019],388
1370352,MI vs GT [2023],387
1304068,RCB vs CSK [2022],387
1426306,RCB vs CSK [2024],386
419139,PK vs KKR [2010],386
829741,RR vs PK [2015],385
981019,SRH vs RCB [2016],385
734049,PK vs KKR [2014],385
1359525,LSG vs GT [2023],384
419112,RCB vs PK [2010],384
1426283,RCB vs GT [2024],383
1359543,SRH vs MI [2023],383
1426302,LSG vs DC [2024],383
1426263,RCB vs MI [2024],382
598027,RCB vs PW [2013],381
1359528,RCB vs MI [2023],381
1359515,PK vs CSK [2023],380
1426288,SRH vs RR [2024],380
1082623,SRH vs PK [2017],380
335989,MI vs CSK [2008],379
1178415,RR vs DC [2019],378
1082640,GL vs DC [2017],378
1422135,PK vs GT [2024],377
1426262,RR vs GT [2024],377
1426267,MI vs CSK [2024],377
1304092,SRH vs CSK [2022],377
1082612,PK vs MI [2017],377
1136569,MI vs DC [2018],377
980949,RSP vs GL [2016],377
1370353,GT vs CSK [2023],376
1136572,PK vs CSK [2018],376
1178399,PK vs MI [2019],376
501206,PK vs CSK [2011],375
1136586,KKR vs DC [2018],375
1175365,KKR vs DC [2019],375
1216517,PK vs MI [2020],375
1175358,MI vs DC [2019],374
1254068,PK vs DC [2021],374
548326,RR vs DeC [2012],374
1426282,RR vs LSG [2024],373
829787,SRH vs RR [2015],373
1136602,SRH vs DC [2018],373
980969,RSP vs RCB [2016],373
734041,RR vs MI [2014],372
419159,PK vs CSK [2010],372
1178417,RCB vs PK [2019],372
1082637,PK vs GL [2017],372
1359514,SRH vs DC [2023],371
1216541,RR vs MI [2020],371
1304096,SRH vs DC [2022],370
1359482,RR vs PK [2023],369
1304086,SRH vs GT [2022],369
1359544,RCB vs GT [2023],369
729291,RR vs PK [2014],369
1304062,PK vs GT [2022],368
1304049,RCB vs PK [2022],368
1312198,RCB vs LSG [2022],368
829737,RCB vs MI [2015],367
1082613,KKR vs GL [2017],367
733999,RR vs RCB [2014],367
1178402,RR vs MI [2019],367
1254089,RR vs CSK [2021],367
548381,KKR vs CSK [2012],367
548366,PK vs DeC [2012],367
1422129,PK vs LSG [2024],366
1082591,SRH vs RCB [2017],366
1359510,RCB vs KKR [2023],366
336020,DeC vs DC [2008],365
980953,SRH vs RCB [2016],365
1304065,KKR vs DC [2022],364
1304091,LSG vs DC [2022],364
336014,KKR vs DeC [2008],364
548342,MI vs DC [2012],364
1254059,DC vs CSK [2021],364
1304069,PK vs MI [2022],363
1254085,SRH vs RR [2021],363
1216538,SRH vs MI [2020],363
1082630,SRH vs DC [2017],363
598034,KKR vs CSK [2013],363
598064,RCB vs PK [2013],363
548329,DeC vs DC [2012],362
1359540,RR vs PK [2023],361
734029,SRH vs CSK [2014],361
1359539,SRH vs RCB [2023],360
1304111,SRH vs MI [2022],360
1426279,SRH vs RCB [2024],360
980921,RCB vs DC [2016],360
598025,PW vs PK [2013],360
501213,PW vs DC [2011],359
1082592,RSP vs MI [2017],359
1359511,RR vs CSK [2023],359
1422137,RR vs RCB [2024],358
1254067,RCB vs KKR [2021],358
1178427,PK vs KKR [2019],358
1304098,RR vs PK [2022],358
1082627,SRH vs KKR [2017],357
1304072,MI vs LSG [2022],357
548317,RR vs MI [2012],357
1216509,DC vs CSK [2020],356
1082611,SRH vs DC [2017],356
1359532,SRH vs LSG [2023],356
1136574,RCB vs MI [2018],356
335998,RCB vs DC [2008],356
598051,SRH vs CSK [2013],355
419116,DC vs CSK [2010],355
980909,MI vs KKR [2016],355
1312197,RR vs GT [2022],355
1216537,RR vs PK [2020],355
829715,RR vs DC [2015],355
829729,MI vs CSK [2015],354
1136580,SRH vs CSK [2018],354
980995,RCB vs KKR [2016],354
598026,RR vs CSK [2013],354
598006,MI vs DC [2013],354
548327,RCB vs PW [2012],354
548356,RCB vs DeC [2012],354
1359496,MI vs KKR [2023],353
729301,SRH vs DC [2014],353
392189,DC vs CSK [2009],353
829799,SRH vs PK [2015],353
829811,RR vs KKR [2015],353
1175362,RCB vs MI [2019],353
1178423,SRH vs PK [2019],352
1175357,SRH vs KKR [2019],352
1426292,LSG vs KKR [2024],352
336009,DC vs CSK [2008],352
392231,KKR vs CSK [2009],352
1359524,RCB vs DC [2023],351
980959,RCB vs KKR [2016],351
598041,PK vs CSK [2013],351
829791,PK vs KKR [2015],351
829823,MI vs CSK [2015],350
1254111,RR vs PK [2021],350
1254060,SRH vs KKR [2021],350
1178401,KKR vs DC [2019],350
1136605,RCB vs DC [2018],350
1136576,SRH vs PK [2018],350
829773,SRH vs CSK [2015],350
1359499,SRH vs MI [2023],349
1422128,RCB vs KKR [2024],349
1136610,PK vs MI [2018],349
1359509,MI vs GT [2023],349
1082593,KKR vs GL [2017],348
1426261,SRH vs PK [2024],348
1178421,RCB vs DC [2019],348
1359541,DC vs CSK [2023],348
1359497,RR vs GT [2023],348
598060,SRH vs MI [2013],348
1237180,SRH vs DC [2020],347
392214,PK vs CSK [2009],347
419145,RCB vs DeC [2010],347
1359506,RR vs RCB [2023],347
1304106,RCB vs PK [2022],347
829711,SRH vs CSK [2015],347
1304073,RCB vs DC [2022],347
980991,SRH vs PK [2016],347
1082620,RSP vs KKR [2017],346
598047,RR vs PW [2013],346
598054,RCB vs DC [2013],346
980947,MI vs KKR [2016],346
1426276,RR vs MI [2024],346
1422127,RR vs DC [2024],346
980937,RCB vs GL [2016],345
829769,RR vs MI [2015],345
1136606,SRH vs CSK [2018],345
1136620,SRH vs CSK [2018],345
1422122,RR vs LSG [2024],344
1216513,PK vs CSK [2020],344
419136,RCB vs PK [2010],344
1359513,KKR vs GT [2023],344
1359527,PK vs KKR [2023],344
548333,PW vs DC [2012],344
1082615,SRH vs RSP [2017],344
734027,RCB vs KKR [2014],343
1426271,PK vs MI [2024],343
336032,MI vs DC [2008],343
980941,PK vs MI [2016],343
733991,RCB vs PK [2014],343
336028,PK vs MI [2008],342
548348,PW vs DeC [2012],342
1304048,MI vs DC [2022],342
829713,RCB vs KKR [2015],342
1254117,KKR vs CSK [2021],342
548380,DC vs CSK [2012],341
1304055,RR vs MI [2022],341
829777,RR vs DC [2015],341
1178429,SRH vs RCB [2019],340
1359475,GT vs CSK [2023],340
980977,RCB vs PK [2016],340
336031,PK vs DeC [2008],340
1304070,RR vs GT [2022],340
1178403,RCB vs PK [2019],339
598042,RCB vs PW [2013],339
1216536,KKR vs CSK [2020],339
1426272,LSG vs CSK [2024],339
1304097,MI vs GT [2022],338
1136593,KKR vs CSK [2018],338
1175364,PK vs MI [2019],338
980931,RSP vs RCB [2016],338
501210,MI vs KTK [2011],338
1422131,DC vs CSK [2024],338
734045,MI vs CSK [2014],338
1136603,RR vs CSK [2018],338
1178416,SRH vs CSK [2019],338
1082616,PK vs GL [2017],338
733981,DC vs CSK [2014],337
1082597,MI vs KKR [2017],337
1254073,RR vs RCB [2021],337
980945,GL vs DC [2016],337
734005,RCB vs DC [2014],337
501271,RCB vs CSK [2011],337
1178418,RR vs KKR [2019],337
980987,RCB vs GL [2016],336
1426310,RR vs RCB [2024],336
980971,PK vs DC [2016],336
598045,RCB vs PK [2013],335
1254114,DC vs CSK [2021],335
1304051,SRH vs RR [2022],335
548355,MI vs CSK [2012],335
501243,DeC vs DC [2011],334
1426284,SRH vs CSK [2024],334
1136594,PK vs MI [2018],334
1136563,RCB vs KKR [2018],334
1175366,SRH vs RCB [2019],334
1136579,RCB vs DC [2018],334
1136597,MI vs KKR [2018],334
1136589,RCB vs KKR [2018],333
1237177,MI vs DC [2020],333
1082603,RSP vs GL [2017],333
1304084,PK vs CSK [2022],333
419125,MI vs CSK [2010],333
1216522,RR vs RCB [2020],333
1175359,RR vs PK [2019],333
1422120,PK vs DC [2024],333
981005,RSP vs PK [2016],333
1254080,SRH vs CSK [2021],333
1254079,RCB vs DC [2021],333
829817,MI vs CSK [2015],332
501211,RCB vs CSK [2011],332
419144,KKR vs DC [2010],332
1422125,GT vs CSK [2024],332
335996,RCB vs CSK [2008],332
419156,PK vs DeC [2010],331
829705,MI vs KKR [2015],331
1136592,RR vs DC [2018],331
501267,MI vs KKR [2011],331
392221,RCB vs KKR [2009],331
981007,MI vs GL [2016],331
419110,DeC vs CSK [2010],330
1254098,KKR vs CSK [2021],330
1304071,SRH vs KKR [2022],330
1216524,SRH vs DC [2020],330
1178407,RR vs PK [2019],330
1178426,SRH vs MI [2019],330
1359542,LSG vs KKR [2023],330
598070,MI vs CSK [2013],330
501268,RCB vs CSK [2011],330
1136577,RR vs CSK [2018],330
1178406,RCB vs MI [2019],329
598036,RR vs RCB [2013],329
1082606,MI vs GL [2017],329
336035,PK vs KKR [2008],329
501222,RCB vs KKR [2011],328
1359490,MI vs DC [2023],328
501254,PK vs KTK [2011],328
1304089,RCB vs GT [2022],328
419129,RR vs CSK [2010],328
392188,RCB vs DeC [2009],328
336001,DC vs CSK [2008],328
548363,MI vs KKR [2012],328
1422124,RCB vs PK [2024],328
1175367,RR vs CSK [2019],328
1304075,GT vs CSK [2022],327
1136614,SRH vs KKR [2018],327
1178430,PK vs CSK [2019],327
1359479,RCB vs MI [2023],327
1359476,PK vs KKR [2023],327
1359491,RR vs CSK [2023],327
336013,PK vs CSK [2008],326
336003,PK vs KKR [2008],326
548309,RR vs PK [2012],326
1136562,PK vs DC [2018],326
419120,DeC vs DC [2010],326
1136619,SRH vs KKR [2018],326
1426295,SRH vs LSG [2024],325
501232,RCB vs PW [2011],325
419128,RCB vs DC [2010],325
1359485,RR vs DC [2023],325
1359537,MI vs LSG [2023],324
1304113,RCB vs GT [2022],324
1304059,RR vs RCB [2022],324
980927,RCB vs MI [2016],324
829747,MI vs DC [2015],324
1216531,RCB vs PK [2020],324
1136581,RR vs MI [2018],324
598037,PK vs MI [2013],323
501220,RR vs PK [2011],323
548344,RCB vs KKR [2012],323
1254086,PK vs DC [2021],323
1082608,KKR vs DC [2017],323
1422136,SRH vs CSK [2024],323
1136561,MI vs CSK [2018],323
1216508,MI vs KKR [2020],322
829717,PK vs MI [2015],322
980951,KKR vs DC [2016],322
1136587,MI vs CSK [2018],322
548324,RR vs RCB [2012],322
980993,MI vs DC [2016],322
1422130,SRH vs GT [2024],322
1216503,PK vs MI [2020],321
392210,RR vs PK [2009],321
392216,PK vs DeC [2009],321
336000,RR vs KKR [2008],321
419140,RCB vs DC [2010],321
598017,RCB vs DC [2013],321
734033,RR vs PK [2014],321
419117,PK vs DeC [2010],321
335999,PK vs DeC [2008],321
1359536,SRH vs GT [2023],320
548379,MI vs CSK [2012],320
1422119,RCB vs CSK [2024],320
392191,RCB vs PK [2009],320
1304077,RCB vs LSG [2022],320
1136607,RR vs MI [2018],320
548339,PK vs MI [2012],320
1254081,RR vs MI [2021],320
829721,RR vs MI [2015],320
733983,RCB vs MI [2014],320
336002,RCB vs DeC [2008],320
733973,PK vs MI [2014],319
1216529,MI vs DC [2020],319
829745,RCB vs CSK [2015],319
1216546,PK vs DC [2020],319
1216499,RCB vs MI [2020],319
548367,RCB vs MI [2012],319
598024,MI vs DC [2013],319
1216492,MI vs CSK [2020],319
1254102,PK vs KKR [2021],319
1359478,SRH vs RR [2023],319
829805,MI vs KKR [2015],319
1426264,LSG vs DC [2024],319
419124,RR vs PK [2010],319
1136596,SRH vs DC [2018],318
1359477,LSG vs DC [2023],318
1136615,MI vs DC [2018],318
981017,SRH vs GL [2016],318
1216542,SRH vs PK [2020],318
335987,RR vs PK [2008],318
1304095,RCB vs CSK [2022],317
598061,PW vs KKR [2013],317
1304060,MI vs KKR [2022],317
392196,DeC vs CSK [2009],317
598011,PW vs MI [2013],317
419135,KKR vs DeC [2010],317
829731,SRH vs DC [2015],317
501260,RCB vs PK [2011],317
734017,RR vs MI [2014],317
980999,RCB vs PK [2016],317
1082628,RCB vs MI [2017],316
1216497,KKR vs DC [2020],316
548341,PW vs DeC [2012],316
1254077,SRH vs DC [2021],316
1216512,SRH vs KKR [2020],316
501253,DC vs CSK [2011],316
501249,RR vs CSK [2011],316
