Team,Avg Runs,Highest,Total Runs,Matches
Gujarat Titans,163.5,225,7357,45
Lucknow Super Giants,160.9,242,7081,44
Chennai Super Kings,155.0,240,36739,237
Gujarat Lions,154.3,203,4629,30
Mumbai Indians,153.0,235,39946,261
Punjab Kings,152.8,256,37583,246
Sunrisers Hyderabad,151.9,272,27641,182
Royal Challengers Bengaluru,151.4,252,38599,255
Rajasthan Royals,150.3,218,33074,220
Kolkata Knight Riders,148.0,250,37149,251
Delhi Capitals,147.8,249,37251,252
Deccan Chargers,145.1,208,10885,75
Rising Pune Supergiants,144.4,188,4332,30
Pune Warriors,134.2,179,6040,45
Kochi Tuskers Kerala,125.6,173,1758,14
