season,team,points,won,played,nrr,win_pct
2008,Rajasthan Royals,26,13,16,0.793,81.2
2008,Punjab Kings,20,10,15,0.304,66.7
2008,Chennai Super Kings,18,9,16,-0.007,56.2
2008,Delhi Capitals,14,7,14,0.18,50.0
2008,Mumbai Indians,14,7,14,0.149,50.0
2008,Kolkata Knight Riders,12,6,13,-0.152,46.2
2008,Royal Challengers Bengaluru,8,4,14,-0.98,28.6
2008,Deccan Chargers,4,2,14,-0.356,14.3
2009,Delhi Capitals,20,10,15,0.291,66.7
2009,Deccan Chargers,18,9,16,0.378,56.2
2009,Royal Challengers Bengaluru,18,9,16,-0.176,56.2
2009,Chennai Super Kings,16,8,14,0.438,57.1
2009,Punjab Kings,14,7,14,-0.444,50.0
2009,Rajasthan Royals,12,6,13,-0.159,46.2
2009,Mumbai Indians,10,5,13,0.161,38.5
2009,Kolkata Knight Riders,6,3,13,-0.601,23.1
2010,Mumbai Indians,22,11,16,0.709,68.8
2010,Chennai Super Kings,18,9,16,0.358,56.2
2010,Royal Challengers Bengaluru,16,8,16,0.264,50.0
2010,Deccan Chargers,16,8,16,-0.405,50.0
2010,Delhi Capitals,14,7,14,0.082,50.0
2010,Kolkata Knight Riders,14,7,14,-0.46,50.0
2010,Rajasthan Royals,12,6,14,-0.375,42.9
2010,Punjab Kings,8,4,14,-0.34,28.6
2011,Chennai Super Kings,22,11,16,0.525,68.8
2011,Royal Challengers Bengaluru,20,10,16,0.324,62.5
2011,Mumbai Indians,20,10,16,-0.022,62.5
2011,Kolkata Knight Riders,16,8,15,0.223,53.3
2011,Punjab Kings,14,7,14,-0.343,50.0
2011,Deccan Chargers,12,6,14,0.173,42.9
2011,Kochi Tuskers Kerala,12,6,14,-0.173,42.9
2011,Rajasthan Royals,12,6,13,-0.43,46.2
2011,Pune Warriors,8,4,13,-0.144,30.8
2011,Delhi Capitals,8,4,13,-0.409,30.8
2012,Kolkata Knight Riders,24,12,17,0.451,70.6
2012,Delhi Capitals,22,11,18,0.298,61.1
2012,Chennai Super Kings,20,10,18,0.335,55.6
2012,Mumbai Indians,20,10,17,-0.131,58.8
2012,Royal Challengers Bengaluru,16,8,15,-0.147,53.3
2012,Punjab Kings,16,8,16,-0.187,50.0
2012,Rajasthan Royals,14,7,16,0.196,43.8
2012,Deccan Chargers,8,4,15,-0.303,26.7
2012,Pune Warriors,8,4,16,-0.584,25.0
2013,Mumbai Indians,26,13,19,0.297,68.4
2013,Chennai Super Kings,24,12,18,0.546,66.7
2013,Rajasthan Royals,22,11,18,0.297,61.1
2013,Sunrisers Hyderabad,20,10,17,-0.105,58.8
2013,Royal Challengers Bengaluru,18,9,16,0.356,56.2
2013,Punjab Kings,16,8,16,0.254,50.0
2013,Kolkata Knight Riders,12,6,16,-0.085,37.5
2013,Pune Warriors,8,4,16,-0.867,25.0
2013,Delhi Capitals,6,3,16,-0.816,18.8
2014,Punjab Kings,24,12,17,0.612,70.6
2014,Kolkata Knight Riders,22,11,16,0.426,68.8
2014,Chennai Super Kings,20,10,16,0.139,62.5
2014,Mumbai Indians,14,7,15,0.071,46.7
2014,Rajasthan Royals,14,7,14,-0.032,50.0
2014,Sunrisers Hyderabad,12,6,14,-0.41,42.9
2014,Royal Challengers Bengaluru,10,5,14,-0.16,35.7
2014,Delhi Capitals,4,2,14,-0.919,14.3
2015,Chennai Super Kings,20,10,17,0.312,58.8
2015,Mumbai Indians,20,10,16,0.165,62.5
2015,Royal Challengers Bengaluru,16,8,14,0.756,57.1
2015,Kolkata Knight Riders,14,7,13,0.25,53.8
2015,Rajasthan Royals,14,7,13,-0.136,53.8
2015,Sunrisers Hyderabad,14,7,14,-0.157,50.0
2015,Delhi Capitals,10,5,13,-0.094,38.5
2015,Punjab Kings,6,3,14,-1.098,21.4
